transaction_id,merchant_id,customer_id,amount,currency,gateway,transaction_status,transaction_time,settlement_id
TXN-10060,MER-001,CUS-028,861.23,INR,DemoPay,SUCCESS,2026-08-29 13:38:00,SET-006
TXN-10061,MER-001,CUS-056,828.32,INR,DemoPay,SUCCESS,2026-08-29 16:17:00,SET-006
TXN-10062,MER-001,CUS-044,1352.98,INR,DemoPay,SUCCESS,2026-08-29 16:46:00,SET-006
TXN-10063,MER-001,CUS-042,1228.20,INR,DemoPay,SUCCESS,2026-08-29 17:12:00,SET-006
TXN-10064,MER-001,CUS-026,312.39,INR,DemoPay,SUCCESS,2026-08-29 19:25:00,SET-006
TXN-10065,MER-002,CUS-055,4190.74,INR,DemoPay,SUCCESS,2026-08-30 08:15:00,SET-007
TXN-10066,MER-002,CUS-027,1292.79,INR,DemoPay,SUCCESS,2026-08-30 08:51:00,SET-007
TXN-10067,MER-002,CUS-014,2339.69,INR,DemoPay,FAILED,2026-08-30 09:17:00,
TXN-10068,MER-002,CUS-058,3931.53,INR,DemoPay,SUCCESS,2026-08-30 09:35:00,SET-007
TXN-10069,MER-002,CUS-025,546.27,INR,DemoPay,SUCCESS,2026-08-30 09:40:00,SET-007
TXN-10070,MER-002,CUS-025,309.05,INR,DemoPay,SUCCESS,2026-08-30 12:15:00,SET-007
TXN-10071,MER-002,CUS-051,1413.85,INR,DemoPay,SUCCESS,2026-08-30 12:45:00,SET-007
TXN-10072,MER-002,CUS-019,3597.54,INR,DemoPay,SUCCESS,2026-08-30 15:33:00,SET-007
TXN-10073,MER-002,CUS-047,2076.63,INR,DemoPay,SUCCESS,2026-08-30 15:53:00,SET-007
TXN-10074,MER-002,CUS-036,4480.78,INR,DemoPay,SUCCESS,2026-08-30 17:13:00,SET-007
TXN-10075,MER-002,CUS-032,3079.86,INR,DemoPay,SUCCESS,2026-08-30 17:23:00,SET-007
TXN-10076,MER-002,CUS-019,950.15,INR,DemoPay,FAILED,2026-08-30 19:07:00,
TXN-10077,MER-006,CUS-033,91.76,USD,QuickSettle,SUCCESS,2026-08-30 08:51:00,SET-008
TXN-10078,MER-006,CUS-012,112.90,USD,QuickSettle,SUCCESS,2026-08-30 08:58:00,SET-008
TXN-10079,MER-006,CUS-005,102.35,USD,QuickSettle,SUCCESS,2026-08-30 10:41:00,SET-008
TXN-10080,MER-006,CUS-016,654.44,USD,QuickSettle,SUCCESS,2026-08-30 16:08:00,SET-008
TXN-10081,MER-006,CUS-057,407.44,USD,QuickSettle,SUCCESS,2026-08-30 16:34:00,SET-008
TXN-10082,MER-006,CUS-038,558.40,USD,QuickSettle,SUCCESS,2026-08-30 17:03:00,SET-008
TXN-10083,MER-006,CUS-040,581.01,USD,QuickSettle,SUCCESS,2026-08-30 17:58:00,SET-008
TXN-10084,MER-003,CUS-005,25903.19,INR,PayFlux,SUCCESS,2026-08-31 08:09:00,SET-009
TXN-10085,MER-003,CUS-033,14533.33,INR,PayFlux,SUCCESS,2026-08-31 09:14:00,SET-009
TXN-10086,MER-003,CUS-060,7776.97,INR,PayFlux,SUCCESS,2026-08-31 10:14:00,SET-009
TXN-10087,MER-003,CUS-005,9855.42,INR,PayFlux,SUCCESS,2026-08-31 13:07:00,SET-009
TXN-10088,MER-003,CUS-024,23005.90,INR,PayFlux,FAILED,2026-08-31 13:23:00,
TXN-10089,MER-003,CUS-029,8267.69,INR,PayFlux,FAILED,2026-08-31 15:48:00,
TXN-10090,MER-003,CUS-046,21876.87,INR,PayFlux,SUCCESS,2026-08-31 15:49:00,SET-009
TXN-10091,MER-003,CUS-052,8702.43,INR,PayFlux,SUCCESS,2026-08-31 17:36:00,SET-009
TXN-10092,MER-003,CUS-001,17418.61,INR,PayFlux,FAILED,2026-08-31 18:36:00,
TXN-10093,MER-003,CUS-036,17763.01,INR,PayFlux,SUCCESS,2026-08-31 19:00:00,SET-009
TXN-10094,MER-003,CUS-043,8624.59,INR,PayFlux,SUCCESS,2026-08-31 19:27:00,SET-009
TXN-10095,MER-004,CUS-022,808.61,INR,PayFlux,SUCCESS,2026-09-01 08:52:00,SET-010
TXN-10096,MER-004,CUS-041,5897.83,INR,PayFlux,SUCCESS,2026-09-01 09:34:00,SET-010
TXN-10097,MER-004,CUS-011,7358.59,INR,PayFlux,SUCCESS,2026-09-01 11:28:00,SET-010
TXN-10098,MER-004,CUS-036,5688.62,INR,PayFlux,SUCCESS,2026-09-01 12:17:00,SET-010
TXN-10099,MER-004,CUS-036,5439.67,INR,PayFlux,SUCCESS,2026-09-01 12:30:00,SET-010
TXN-10100,MER-004,CUS-005,567.69,INR,PayFlux,SUCCESS,2026-09-01 12:43:00,SET-010
TXN-10101,MER-004,CUS-045,7115.36,INR,PayFlux,SUCCESS,2026-09-01 13:51:00,SET-010
TXN-10102,MER-004,CUS-035,6827.50,INR,PayFlux,SUCCESS,2026-09-01 15:13:00,SET-010
TXN-10103,MER-004,CUS-024,752.20,INR,PayFlux,SUCCESS,2026-09-01 16:20:00,SET-010
TXN-10104,MER-004,CUS-010,4577.57,INR,PayFlux,SUCCESS,2026-09-01 16:37:00,SET-010
TXN-10105,MER-004,CUS-003,3508.51,INR,PayFlux,SUCCESS,2026-09-01 18:49:00,SET-010
TXN-10106,MER-004,CUS-058,2657.81,INR,PayFlux,SUCCESS,2026-09-01 19:43:00,SET-010
TXN-10107,MER-005,CUS-056,2584.95,INR,QuickSettle,SUCCESS,2026-09-01 08:25:00,SET-011
TXN-10108,MER-005,CUS-016,2376.03,INR,QuickSettle,SUCCESS,2026-09-01 10:38:00,SET-011
TXN-10109,MER-005,CUS-051,919.77,INR,QuickSettle,SUCCESS,2026-09-01 10:46:00,SET-011
TXN-10110,MER-005,CUS-025,2270.98,INR,QuickSettle,SUCCESS,2026-09-01 11:01:00,SET-011
TXN-10111,MER-005,CUS-055,2802.44,INR,QuickSettle,FAILED,2026-09-01 11:03:00,
TXN-10112,MER-005,CUS-013,1553.85,INR,QuickSettle,SUCCESS,2026-09-01 12:02:00,SET-011
TXN-10113,MER-005,CUS-030,2629.58,INR,QuickSettle,SUCCESS,2026-09-01 13:40:00,SET-011
TXN-10114,MER-005,CUS-053,1177.44,INR,QuickSettle,SUCCESS,2026-09-01 15:01:00,SET-011
TXN-10115,MER-005,CUS-015,2563.52,INR,QuickSettle,SUCCESS,2026-09-01 15:02:00,SET-011
TXN-10116,MER-005,CUS-043,783.29,INR,QuickSettle,SUCCESS,2026-09-01 18:35:00,SET-011
TXN-10117,MER-006,CUS-017,838.10,USD,QuickSettle,SUCCESS,2026-09-02 08:28:00,SET-012
TXN-10118,MER-006,CUS-017,202.50,USD,QuickSettle,SUCCESS,2026-09-02 09:58:00,SET-012
TXN-10119,MER-006,CUS-039,74.81,USD,QuickSettle,SUCCESS,2026-09-02 13:39:00,SET-012
TXN-10120,MER-006,CUS-047,435.45,USD,QuickSettle,SUCCESS,2026-09-02 14:49:00,SET-012
TXN-10121,MER-006,CUS-028,755.65,USD,QuickSettle,SUCCESS,2026-09-02 16:41:00,SET-012
TXN-10122,MER-006,CUS-033,591.65,USD,QuickSettle,SUCCESS,2026-09-02 17:09:00,SET-012
TXN-10123,MER-006,CUS-058,145.24,USD,QuickSettle,SUCCESS,2026-09-02 18:56:00,SET-012
TXN-10124,MER-006,CUS-017,564.70,USD,QuickSettle,SUCCESS,2026-09-02 19:35:00,SET-012
TXN-10125,MER-001,CUS-043,466.54,INR,DemoPay,FAILED,2026-09-02 10:07:00,
TXN-10126,MER-001,CUS-044,1701.60,INR,DemoPay,SUCCESS,2026-09-02 10:10:00,SET-013
TXN-10127,MER-001,CUS-012,1384.42,INR,DemoPay,FAILED,2026-09-02 13:02:00,
TXN-10128,MER-001,CUS-020,1165.60,INR,DemoPay,FAILED,2026-09-02 13:07:00,
TXN-10129,MER-001,CUS-054,820.02,INR,DemoPay,FAILED,2026-09-02 13:16:00,
TXN-10130,MER-001,CUS-019,150.67,INR,DemoPay,FAILED,2026-09-02 13:34:00,
TXN-10131,MER-001,CUS-051,496.80,INR,DemoPay,SUCCESS,2026-09-02 14:52:00,SET-013
TXN-10132,MER-001,CUS-042,1106.97,INR,DemoPay,SUCCESS,2026-09-02 14:58:00,SET-013
TXN-10133,MER-001,CUS-029,681.71,INR,DemoPay,FAILED,2026-09-02 16:39:00,
TXN-10134,MER-001,CUS-014,879.56,INR,DemoPay,PENDING,2026-09-02 17:27:00,
TXN-10135,MER-001,CUS-051,993.44,INR,DemoPay,FAILED,2026-09-02 19:19:00,
TXN-10136,MER-001,CUS-051,1636.95,INR,DemoPay,FAILED,2026-09-02 19:22:00,
TXN-10137,MER-001,CUS-043,1364.34,INR,DemoPay,SUCCESS,2026-09-02 19:53:00,SET-013
TXN-10138,MER-002,CUS-026,1912.71,INR,DemoPay,SUCCESS,2026-09-03 08:25:00,SET-014
TXN-10139,MER-002,CUS-042,1324.73,INR,DemoPay,PENDING,2026-09-03 08:47:00,
TXN-10140,MER-002,CUS-058,3188.01,INR,DemoPay,SUCCESS,2026-09-03 09:14:00,SET-014
TXN-10141,MER-002,CUS-050,3454.05,INR,DemoPay,SUCCESS,2026-09-03 11:19:00,SET-014
TXN-10142,MER-002,CUS-050,4018.95,INR,DemoPay,SUCCESS,2026-09-03 12:10:00,SET-014
TXN-10143,MER-002,CUS-012,2085.61,INR,DemoPay,SUCCESS,2026-09-03 15:04:00,SET-014
TXN-10144,MER-002,CUS-045,3677.26,INR,DemoPay,SUCCESS,2026-09-03 15:46:00,SET-014
TXN-10145,MER-002,CUS-004,2475.42,INR,DemoPay,PENDING,2026-09-03 16:06:00,
TXN-10146,MER-002,CUS-059,2641.10,INR,DemoPay,SUCCESS,2026-09-03 17:49:00,SET-014
TXN-10147,MER-002,CUS-030,3863.01,INR,DemoPay,SUCCESS,2026-09-03 18:25:00,SET-014
TXN-10148,MER-002,CUS-030,860.02,INR,DemoPay,SUCCESS,2026-09-03 18:44:00,SET-014
TXN-10149,MER-002,CUS-036,3103.83,INR,DemoPay,SUCCESS,2026-09-03 19:53:00,SET-014
TXN-10150,MER-001,CUS-049,1620.85,INR,DemoPay,SUCCESS,2026-09-04 13:20:00,
TXN-10151,MER-002,CUS-047,4046.49,INR,DemoPay,SUCCESS,2026-09-04 13:52:00,
TXN-10152,MER-003,CUS-059,14787.22,INR,PayFlux,PENDING,2026-09-04 12:53:00,
TXN-10153,MER-004,CUS-056,3822.72,INR,PayFlux,FAILED,2026-09-04 10:47:00,
TXN-10154,MER-005,CUS-016,2701.97,INR,QuickSettle,SUCCESS,2026-09-04 11:48:00,
TXN-10155,MER-006,CUS-050,514.38,USD,QuickSettle,PENDING,2026-09-04 11:49:00,
