log_id,transaction_id,settlement_id,gateway,event_type,status,timestamp,response_code,message
GWL-00109,TXN-10051,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 16:17:00,200,Payment request received by gateway
GWL-00110,TXN-10051,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 16:17:27,201,Payment authorized by acquirer
GWL-00111,TXN-10052,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 17:05:00,200,Payment request received by gateway
GWL-00112,TXN-10052,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 17:05:12,201,Payment authorized by acquirer
GWL-00113,TXN-10053,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 17:40:00,200,Payment request received by gateway
GWL-00114,TXN-10053,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 17:40:31,201,Payment authorized by acquirer
GWL-00115,TXN-10054,SET-005,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-28 19:15:00,200,Payment request received by gateway
GWL-00116,TXN-10054,SET-005,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-28 19:15:10,201,Payment authorized by acquirer
GWL-00117,,SET-005,QuickSettle,SETTLEMENT_CREATED,CREATED,2026-08-28 22:05:00,201,Settlement batch created from 11 authorized transactions
GWL-00118,,SET-005,QuickSettle,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-28 22:30:00,200,Settlement file submitted to bank for payout
GWL-00119,TXN-10055,,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 09:12:00,200,Payment request received by gateway
GWL-00120,TXN-10055,,DemoPay,PAYMENT_RECEIVED,PENDING,2026-08-29 09:12:41,202,Awaiting authorization from acquirer
GWL-00121,TXN-10056,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 10:15:00,200,Payment request received by gateway
GWL-00122,TXN-10056,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 10:15:36,201,Payment authorized by acquirer
GWL-00123,TXN-10057,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 11:39:00,200,Payment request received by gateway
GWL-00124,TXN-10057,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 11:39:03,201,Payment authorized by acquirer
GWL-00125,TXN-10058,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 12:03:00,200,Payment request received by gateway
GWL-00126,TXN-10058,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 12:03:27,201,Payment authorized by acquirer
GWL-00127,TXN-10059,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 12:45:00,200,Payment request received by gateway
GWL-00128,TXN-10059,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 12:45:39,201,Payment authorized by acquirer
GWL-00129,TXN-10060,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 13:38:00,200,Payment request received by gateway
GWL-00130,TXN-10060,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 13:38:38,201,Payment authorized by acquirer
GWL-00131,TXN-10061,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 16:17:00,200,Payment request received by gateway
GWL-00132,TXN-10061,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 16:17:44,201,Payment authorized by acquirer
GWL-00133,TXN-10062,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 16:46:00,200,Payment request received by gateway
GWL-00134,TXN-10062,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 16:46:03,201,Payment authorized by acquirer
GWL-00135,TXN-10063,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 17:12:00,200,Payment request received by gateway
GWL-00136,TXN-10063,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 17:12:07,201,Payment authorized by acquirer
GWL-00137,TXN-10064,SET-006,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-29 19:25:00,200,Payment request received by gateway
GWL-00138,TXN-10064,SET-006,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-29 19:25:43,201,Payment authorized by acquirer
GWL-00139,,SET-006,DemoPay,SETTLEMENT_CREATED,CREATED,2026-08-29 22:05:00,201,Settlement batch created from 9 authorized transactions
GWL-00140,,SET-006,DemoPay,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-29 22:30:00,200,Settlement file submitted to bank for payout
GWL-00141,TXN-10065,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 08:15:00,200,Payment request received by gateway
GWL-00142,TXN-10065,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 08:15:29,201,Payment authorized by acquirer
GWL-00143,TXN-10066,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 08:51:00,200,Payment request received by gateway
GWL-00144,TXN-10077,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 08:51:00,200,Payment request received by gateway
GWL-00145,TXN-10066,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 08:51:10,201,Payment authorized by acquirer
GWL-00146,TXN-10077,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 08:51:28,201,Payment authorized by acquirer
GWL-00147,TXN-10078,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 08:58:00,200,Payment request received by gateway
GWL-00148,TXN-10078,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 08:58:18,201,Payment authorized by acquirer
GWL-00149,TXN-10067,,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 09:17:00,200,Payment request received by gateway
GWL-00150,TXN-10067,,DemoPay,PAYMENT_FAILED,FAILED,2026-08-30 09:17:31,402,Card declined by issuing bank
GWL-00151,TXN-10068,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 09:35:00,200,Payment request received by gateway
GWL-00152,TXN-10068,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 09:35:05,201,Payment authorized by acquirer
GWL-00153,TXN-10069,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 09:40:00,200,Payment request received by gateway
GWL-00154,TXN-10069,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 09:40:18,201,Payment authorized by acquirer
GWL-00155,TXN-10079,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 10:41:00,200,Payment request received by gateway
GWL-00156,TXN-10079,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 10:41:07,201,Payment authorized by acquirer
GWL-00157,TXN-10070,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 12:15:00,200,Payment request received by gateway
GWL-00158,TXN-10070,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 12:15:26,201,Payment authorized by acquirer
GWL-00159,TXN-10071,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 12:45:00,200,Payment request received by gateway
GWL-00160,TXN-10071,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 12:45:22,201,Payment authorized by acquirer
GWL-00161,TXN-10072,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 15:33:00,200,Payment request received by gateway
GWL-00162,TXN-10072,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 15:33:15,201,Payment authorized by acquirer
GWL-00163,TXN-10073,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 15:53:00,200,Payment request received by gateway
GWL-00164,TXN-10073,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 15:53:31,201,Payment authorized by acquirer
GWL-00165,TXN-10080,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 16:08:00,200,Payment request received by gateway
GWL-00166,TXN-10080,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 16:08:32,201,Payment authorized by acquirer
GWL-00167,TXN-10081,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 16:34:00,200,Payment request received by gateway
GWL-00168,TXN-10081,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 16:34:03,201,Payment authorized by acquirer
GWL-00169,TXN-10082,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 17:03:00,200,Payment request received by gateway
GWL-00170,TXN-10082,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 17:03:36,201,Payment authorized by acquirer
GWL-00171,TXN-10074,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 17:13:00,200,Payment request received by gateway
GWL-00172,TXN-10074,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 17:13:22,201,Payment authorized by acquirer
GWL-00173,TXN-10075,SET-007,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 17:23:00,200,Payment request received by gateway
GWL-00174,TXN-10075,SET-007,DemoPay,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 17:23:23,201,Payment authorized by acquirer
GWL-00175,TXN-10083,SET-008,QuickSettle,PAYMENT_RECEIVED,RECEIVED,2026-08-30 17:58:00,200,Payment request received by gateway
GWL-00176,TXN-10083,SET-008,QuickSettle,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-30 17:58:05,201,Payment authorized by acquirer
GWL-00177,TXN-10076,,DemoPay,PAYMENT_RECEIVED,RECEIVED,2026-08-30 19:07:00,200,Payment request received by gateway
GWL-00178,TXN-10076,,DemoPay,PAYMENT_FAILED,FAILED,2026-08-30 19:07:26,402,Insufficient balance on customer card
GWL-00179,,SET-007,DemoPay,SETTLEMENT_CREATED,CREATED,2026-08-30 22:05:00,201,Settlement batch created from 10 authorized transactions
GWL-00180,,SET-008,QuickSettle,SETTLEMENT_CREATED,ON_HOLD,2026-08-30 22:05:00,202,Settlement created but held for compliance review; not submitted to bank
GWL-00181,,SET-007,DemoPay,SETTLEMENT_SUBMITTED,SUBMITTED,2026-08-30 22:30:00,200,Settlement file submitted to bank for payout
GWL-00182,TXN-10084,SET-009,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-31 08:09:00,200,Payment request received by gateway
GWL-00183,TXN-10084,SET-009,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-31 08:09:24,201,Payment authorized by acquirer
GWL-00184,TXN-10085,SET-009,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-31 09:14:00,200,Payment request received by gateway
GWL-00185,TXN-10085,SET-009,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-31 09:14:16,201,Payment authorized by acquirer
GWL-00186,TXN-10086,SET-009,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-31 10:14:00,200,Payment request received by gateway
GWL-00187,TXN-10086,SET-009,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-31 10:14:43,201,Payment authorized by acquirer
GWL-00188,TXN-10087,SET-009,PayFlux,PAYMENT_RECEIVED,RECEIVED,2026-08-31 13:07:00,200,Payment request received by gateway
GWL-00189,TXN-10087,SET-009,PayFlux,PAYMENT_AUTHORIZED,AUTHORIZED,2026-08-31 13:07:06,201,Payment authorized by acquirer
